studyName,studyYear,studyLoc,replicate,blockNumber,rowNumber,colNumber,plotNumber,germplasmName,intercropGermplasmName,observationLevel,observationUnitName,Oat_Height_1,Oat_Height_2,Oat_Height_3,Pea_Height_1,Pea_Height_2,Pea_Height_3,Oat_establishment,Pea_establishment,Lodging,Oat_Heading_Date,Pea_Flowering_Date
B4I_2025_AL,2025,AL,1,1,4,35,1126,IL23-1660,NDP170056G,plot,B4I_2025_AL_1126,27,82,27,16,47,16,10,2,3,119,115
B4I_2025_AL,2025,AL,1,1,4,34,1127,IL23-4252,NDP170094Y,plot,B4I_2025_AL_1127,23,75,23,18,44,18,13,4,4,125,119
B4I_2025_AL,2025,AL,1,1,5,33,1128,IL23-268,NDP250027G,plot,B4I_2025_AL_1128,29,80,29,14,40,14,11,4,3,122,115
B4I_2025_AL,2025,AL,1,1,4,32,1129,IL23-4835,NDP250097Y,plot,B4I_2025_AL_1129,25,89,25,15,45,15,10,5,4,122,115
B4I_2025_AL,2025,AL,1,1,4,31,1130,IL19-6345,NDP250122Y,plot,B4I_2025_AL_1130,30,83,30,13,46,13,13,5,3,122,115
B4I_2025_AL,2025,AL,1,1,4,30,1131,IL23-3565,NDP250031Y,plot,B4I_2025_AL_1131,24,70,24,18,42,18,9,5,2,122,115
B4I_2025_AL,2025,AL,1,1,4,29,1132,IL23-2554,NDP170161Y,plot,B4I_2025_AL_1132,27,70,27,21,47,21,13,4,1,128,119
B4I_2025_AL,2025,AL,1,1,4,28,1133,IL19-7063,NDP250175Y,plot,B4I_2025_AL_1133,25,84,25,22,42,22,11,6,1,122,115
B4I_2025_AL,2025,AL,1,1,4,27,1134,IL23-4063,NDP250174Y,plot,B4I_2025_AL_1134,27,75,27,15,47,15,14,5,2,128,119
B4I_2025_AL,2025,AL,1,1,4,26,1135,IL22-2250,NDP160129G,plot,B4I_2025_AL_1135,26,74,26,15,41,15,13,4,1,128,119
B4I_2025_AL,2025,AL,1,1,4,25,1136,IL22-5830,NDP250043Y,plot,B4I_2025_AL_1136,28,74,28,17,42,17,7,6,2,122,115
B4I_2025_AL,2025,AL,1,1,4,24,1137,IL23-3826,NDP250107G,plot,B4I_2025_AL_1137,27,82,27,11,42,11,16,1,7,122,115
B4I_2025_AL,2025,AL,1,1,4,23,1138,IL23-4444,NDP250056G,plot,B4I_2025_AL_1138,23,62,23,15,43,15,12,4,3,119,115
B4I_2025_AL,2025,AL,1,1,4,22,1139,IL20-8446,NDP250089Y,plot,B4I_2025_AL_1139,27,78,27,19,66,19,14,2,2,119,115
B4I_2025_AL,2025,AL,1,1,4,21,1140,IL21-4020,NDP170022G,plot,B4I_2025_AL_1140,26,75,26,17,50,17,11,6,2,125,119
B4I_2025_AL,2025,AL,1,1,4,20,1141,IL21-3542,NDP250171Y,plot,B4I_2025_AL_1141,30,77,30,14,50,14,12,5,2,125,119
B4I_2025_AL,2025,AL,1,1,4,19,1142,IL23-1651,NDP250077Y,plot,B4I_2025_AL_1142,28,93,28,23,62,23,15,5,9,122,115
B4I_2025_AL,2025,AL,1,1,4,18,1143,IL22-251,NDP250146G,plot,B4I_2025_AL_1143,27,72,27,21,52,21,13,5,3,128,119
B4I_2025_AL,2025,AL,1,1,4,17,1144,IL23-612,NDP250098Y,plot,B4I_2025_AL_1144,29,85,29,19,56,19,13,3,3,122,115
